variavel,fonte,tipo_temporal,regra_bimestral,deflacionamento,unidade_final,observacao
admissoes,caged_municipal,fluxo,soma,nao_aplica,postos_de_trabalho,recoleta de jun/2026 (bug do digito verificador corrigido): 184/184 municipios e 14/14 regioes cobertos; serie mensal continua 2015-01 a 2026-04 (136 meses; 2025-03 re-baixado apos falha transitoria de FTP na recoleta de 10/06/2026 — guard de continuidade no coletor)
desligamentos,caged_municipal,fluxo,soma,nao_aplica,postos_de_trabalho,recoleta de jun/2026: 184/184 municipios e 14/14 regioes; serie mensal continua 2015-01 a 2026-04 (136 meses; 2025-03 re-baixado apos falha transitoria de FTP na recoleta de 10/06/2026 — guard de continuidade no coletor)
saldo,caged_municipal,fluxo,soma,nao_aplica,postos_de_trabalho,recoleta de jun/2026 (bug do digito verificador na consulta corrigido): 184/184 municipios e 14/14 regioes — saldo e FLUXO (variacao) e nao e diretamente comparavel ao bloco Estoque de empregos do gabarito do Prof. Paulo (estoque acumulado); serie mensal continua 2015-01 a 2026-04 (136 meses; 2025-03 re-baixado apos falha transitoria de FTP na recoleta de 10/06/2026 — guard de continuidade no coletor)
total_movimentacoes,caged_municipal,fluxo,soma,nao_aplica,movimentacoes,usada como peso da media ponderada de salario_medio; recoleta de jun/2026: 184/184 municipios e 14/14 regioes; serie mensal continua 2015-01 a 2026-04 (136 meses; 2025-03 re-baixado apos falha transitoria de FTP na recoleta de 10/06/2026 — guard de continuidade no coletor)
salario_medio,caged_municipal,media_mensal,media_ponderada_movimentacoes,ipca,r$_dez_2025,media ponderada por total_movimentacoes — re-mediar os 2 meses sem peso introduziria vies (a fonte regional ja pondera por movimentacoes); recoleta de jun/2026: 184/184 municipios e 14/14 regioes; serie mensal continua 2015-01 a 2026-04 (136 meses; 2025-03 re-baixado apos falha transitoria de FTP na recoleta de 10/06/2026 — guard de continuidade no coletor)
bf_valor_total,bolsa_familia,fluxo,soma,ipca,r$_dez_2025,
bf_beneficiarios,bolsa_familia,estoque,ultimo_mes,nao_aplica,beneficiarios,
bpc_valor_total,bpc,fluxo,soma,ipca,r$_dez_2025,cobertura a partir de 2019
bpc_beneficiarios,bpc,estoque,ultimo_mes,nao_aplica,beneficiarios,cobertura a partir de 2019
transf_fed_fpm_dest,transferencias_municipais_stn,fluxo,soma,ipca,r$_dez_2025,"set/2024 publicado em centavos pela fonte — corrigido (/100) na coleta de jun/2026; 24b5 volta a ser valido (gate de outliers nao anula mais); fonte NAO publicou o conteudo de 2020-11, 2022-10, 2023-11, 2024-11 e 2025-11 (arquivo AAAAMM com conteudo AAAAMM-1 entre set e nov, re-sincronizando em dez) — bimestres 20b6, 22b5, 23b6, 24b6 e 25b6 anulados; 2018-05 reconstruido por inferencia item+ordem validada (arquivo sem coluna destino); 2021-08 recuperado de arquivo corrigido pela fonte"
